"";"short_name";"preferred_foot";"team_position";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_marking";"defending_standing_tackle";"defending_sliding_tackle";"goalkeeping_diving";"goalkeeping_handling";"goalkeeping_kicking";"goalkeeping_positioning";"goalkeeping_reflexes"
"17632";"K. Oshiro";"Right";"RES";18;18;53;45;14;25;21;26;31;46;59;51;50;46;51;25;64;37;65;21;48;48;20;30;29;35;42;58;54;7;13;14;14;12
"17633";"O. Antman";"Right";"SUB";39;30;41;60;34;58;41;36;52;60;69;63;74;47;72;53;66;55;37;30;52;35;51;54;39;50;34;28;28;13;6;11;8;6
"17634";"F. Mambimbi";"Right";"RES";46;59;43;45;44;56;42;41;42;52;74;70;74;42;85;60;43;36;38;45;31;23;51;47;59;48;19;25;29;14;5;11;10;5
"17635";"P. Vogt";"Right";"SUB";43;25;48;40;31;52;40;32;36;44;70;64;67;48;75;30;59;61;57;26;51;52;48;37;35;38;47;54;54;9;11;12;10;6
"17636";"P. Bjur";"Left";"SUB";43;43;47;51;37;58;38;33;48;58;70;69;71;47;59;43;56;51;58;35;51;40;49;46;37;38;37;42;31;14;7;10;7;10
"17637";"D. Ontuzans";"Right";"SUB";52;43;44;46;44;61;49;42;52;56;78;71;73;51;72;52;77;62;36;40;55;26;42;48;48;49;26;31;33;6;12;11;7;10
"17638";"N. Alexandersson";"Right";"SUB";42;44;33;49;43;56;45;40;45;58;68;67;67;52;58;44;52;40;37;39;44;29;49;49;45;48;37;33;32;15;5;14;14;7
"17639";"P. Wiese";"Right";"SUB";40;16;35;58;18;49;27;21;30;52;66;67;71;48;79;28;64;56;41;18;50;45;23;28;30;36;40;58;54;7;9;5;9;13
"17640";"N. Jaby";"Left";"RES";40;45;42;57;42;48;48;50;53;44;72;68;71;51;75;50;63;55;41;42;50;52;59;61;48;54;43;57;50;11;10;14;9;12
"17641";"J. Odehnal";"Right";"RES";12;8;12;21;7;16;14;12;18;12;29;35;28;45;43;42;57;18;52;9;23;13;9;24;19;33;8;12;11;55;52;56;47;56
"17642";"O. Gorin";"Right";"RES";29;31;51;54;34;51;33;31;50;45;63;66;67;57;63;48;64;68;62;42;52;49;50;48;37;33;46;52;50;6;14;13;6;13
"17643";"M. Bogacz";"Left";"SUB";49;22;41;31;27;52;30;29;31;35;64;69;50;53;52;24;56;55;63;31;55;51;47;34;38;33;49;59;58;12;11;11;6;12
"17644";"C. Kirby";"Right";"RES";39;32;53;56;36;55;35;35;55;55;64;64;75;56;82;55;65;64;53;40;60;42;51;43;47;41;40;41;47;10;13;7;11;7
"17645";"M. Bildøy";"Right";"SUB";46;52;32;52;46;55;48;40;49;52;66;70;79;37;63;55;76;50;39;45;49;30;47;47;55;42;25;37;38;9;14;8;10;11
"17646";"J. Cox";"Left";"RES";46;49;40;54;42;57;40;35;49;53;69;63;64;42;65;50;43;41;43;37;30;21;48;47;55;48;20;25;22;10;10;13;11;8
"17647";"S. Haubrock";"Right";"RES";28;22;48;40;25;24;34;25;30;32;55;52;63;42;66;37;80;55;66;22;44;47;28;33;29;39;54;57;53;12;11;6;13;7
"17648";"T. Prica";"Right";"SUB";25;61;46;44;38;40;37;34;30;49;57;58;69;54;64;53;65;41;57;49;28;12;54;40;56;46;17;14;16;9;7;12;7;6
"17649";"B. Passant";"Right";"RES";14;9;12;28;9;11;12;10;29;14;39;42;37;42;50;39;60;31;39;8;21;12;5;26;14;33;10;12;11;54;52;52;52;53
"17650";"F. Tavares";"Right";"SUB";37;50;44;50;47;57;49;34;40;50;80;80;60;55;69;50;57;59;50;47;30;19;47;46;56;48;20;19;20;9;9;5;12;5
"17651";"L. Green-Birch";"Right";"RES";40;36;40;58;41;47;45;36;55;47;71;70;74;57;76;47;57;60;58;33;44;28;46;53;41;61;34;37;36;15;12;8;8;10
"17652";"G. Alexander";"Right";"RES";30;58;52;39;34;51;33;28;28;44;57;63;59;53;66;50;67;52;59;49;28;12;48;44;63;42;16;12;18;6;11;12;9;14
"17653";"A. Ousmane";"Right";"SUB";21;17;51;31;25;22;29;19;27;31;57;54;42;43;60;37;68;53;58;22;47;53;26;28;38;44;48;61;57;12;12;9;11;12
"17654";"P. Zaucha";"Left";"RES";52;51;40;54;53;50;47;34;49;52;74;69;52;36;76;59;42;53;43;36;29;16;48;45;56;43;22;24;29;11;12;9;10;12
"17655";"Guo Tianyu";"Right";"SUB";29;50;59;46;35;51;36;34;35;52;64;47;56;55;42;45;62;55;68;44;30;23;55;50;50;45;52;21;20;11;11;14;7;7
"17656";"G. McMahon";"Right";"RES";12;9;13;20;9;11;10;13;28;12;33;37;27;42;48;39;59;23;60;7;16;10;8;24;17;24;14;13;11;55;53;52;52;54
"17657";"A. Bærtelsen";"Right";"RES";21;21;50;46;25;26;26;25;40;45;62;63;57;50;64;36;73;32;64;19;50;49;27;33;29;40;50;53;49;15;12;11;7;13
"17658";"R. Ferrario";"Right";"SUB";15;8;15;19;8;13;13;15;20;20;16;30;24;47;40;44;44;21;45;10;26;7;9;40;18;37;10;10;12;56;47;58;47;59
"17659";"L. Pelletier";"Right";"RES";14;8;13;17;8;9;13;13;16;14;26;16;36;45;41;41;58;21;54;8;19;7;6;24;12;23;9;14;11;51;59;55;45;55
"17660";"W. Mikalsen";"Right";"RES";60;28;46;45;34;38;38;30;42;42;67;63;63;38;74;46;61;55;51;42;30;48;32;48;42;38;58;53;52;8;12;10;14;15
"17661";"T. Pugh";"Right";"RES";39;40;42;55;37;51;42;40;53;53;70;68;73;49;75;51;71;64;59;43;50;50;47;53;45;47;48;52;50;8;13;14;12;6
"17662";"F. Mawana";"Left";"SUB";43;52;42;48;45;53;43;33;39;56;75;79;80;35;86;58;63;52;41;43;43;19;44;47;46;45;21;21;26;10;11;15;11;10
"17663";"D. Kother";"Right";"RES";25;58;46;41;53;50;38;28;24;47;67;66;63;50;65;56;71;45;48;42;33;19;53;40;49;39;21;16;18;9;9;11;10;8
"17664";"J. Burban";"Right";"RES";29;53;59;42;44;52;36;30;31;46;62;58;52;47;59;49;60;51;64;53;34;12;52;42;70;49;11;14;18;12;13;12;14;10
"17665";"C. Leonhard";"Right";"RES";10;6;11;16;6;7;12;13;24;13;15;30;33;33;43;40;63;28;49;5;17;14;7;31;11;33;9;10;14;53;54;53;56;54
"17666";"H. Teruyama";"Right";"RES";45;32;46;58;24;41;30;35;61;56;58;60;54;52;61;40;65;57;53;33;43;49;49;48;38;51;53;55;53;13;8;8;8;8
"17667";"F. Honda";"Left";"RES";44;38;36;53;36;57;37;36;44;51;66;58;68;55;73;50;70;47;44;35;38;38;52;50;41;50;29;37;26;10;9;12;5;10
"17668";"M. Petratos";"Right";"SUB";45;53;37;52;44;60;50;29;34;58;72;74;67;43;66;51;51;52;59;58;27;12;45;46;55;48;16;12;10;12;13;11;11;11
"17669";"D. Rouyard";"Right";"SUB";11;6;10;26;10;12;14;13;24;17;22;33;38;46;56;38;55;27;56;8;23;10;7;39;15;32;8;13;10;55;53;51;49;53
"17670";"K. Haug";"Right";"SUB";18;13;22;31;20;17;21;29;34;21;41;49;42;47;41;37;52;27;46;14;26;17;12;30;22;31;23;14;20;54;50;49;53;55
"17671";"F. Barragán";"Right";"RES";38;45;39;54;39;47;45;36;51;50;63;66;76;48;70;43;51;32;56;48;42;25;39;58;46;58;30;36;40;13;14;9;11;12
"17672";"C. Coxe";"Right";"RES";46;20;40;45;27;55;30;31;43;54;68;63;56;48;66;32;59;55;56;25;50;54;45;36;27;38;47;55;53;13;15;9;12;7
"17673";"J. Gibson";"Right";"SUB";47;55;37;48;37;58;43;34;34;56;68;64;62;48;67;60;42;32;43;39;32;16;47;53;54;44;20;27;26;11;9;6;9;7
"17674";"R. Strachan";"Right";"RES";29;20;48;29;26;30;25;30;22;32;59;51;56;44;59;36;71;62;66;18;43;52;29;27;38;44;54;55;54;15;11;13;8;7
"17675";"S. Noreña";"Right";"SUB";23;22;45;26;22;24;28;26;20;39;55;56;40;49;69;38;78;58;61;18;45;46;25;33;37;55;63;53;55;8;12;11;13;11
"17676";"M. Schragl";"Right";"RES";13;8;10;17;6;9;11;12;15;15;29;32;31;46;33;40;56;27;58;7;22;11;9;26;14;24;12;11;12;57;52;53;48;56
"17677";"D. Qela";"Right";"RES";46;40;46;56;36;56;41;42;56;58;65;65;65;53;53;50;56;43;48;36;55;52;42;50;42;40;48;49;50;11;8;7;9;11
"17678";"Y. Kasaï";"Left";"SUB";31;50;63;41;44;48;39;28;35;45;58;59;53;48;42;55;63;56;82;40;54;20;45;48;50;52;26;17;15;9;9;7;5;12
"17679";"N. Iketaka";"Right";"RES";40;31;31;63;46;59;48;51;61;57;52;53;50;41;55;30;39;34;41;34;36;21;45;51;55;48;25;40;38;9;12;8;5;8
"17680";"R. Ishii";"Right";"RES";11;9;11;24;8;8;10;11;27;19;31;29;34;47;25;38;44;22;69;5;26;14;7;22;15;26;8;10;10;54;55;51;45;56
"17681";"K. Harada";"Right";"RES";44;38;39;50;38;61;57;41;47;56;65;58;73;51;71;50;66;36;36;32;33;24;46;53;40;55;27;41;27;7;8;6;7;11
"17682";"G. Cîmpanu";"Left";"RES";29;57;51;43;40;48;38;25;33;52;58;55;58;47;60;52;65;51;39;48;32;12;57;43;62;43;19;15;19;9;10;12;12;6
"17683";"E. Zapata";"Right";"RES";29;53;45;47;35;46;36;25;42;48;74;68;70;50;71;51;65;72;58;48;26;16;54;41;55;48;12;11;19;14;6;8;14;6
"17684";"T. Oluwa";"Right";"SUB";33;49;45;46;41;46;39;36;41;47;70;78;65;52;65;51;66;60;69;48;51;21;50;45;49;50;12;19;18;8;6;12;13;9
"17685";"S. Lathouwers";"Right";"RES";46;26;40;28;30;56;29;30;24;41;65;63;55;52;64;29;55;59;49;31;51;53;49;37;33;47;47;55;60;6;14;15;14;14
"17686";"A. Ratajczyk";"Right";"SUB";40;46;36;53;45;54;42;44;47;52;69;63;74;51;71;44;56;43;42;42;41;17;43;49;49;41;32;22;21;10;6;6;12;11
"17687";"M. O'Connor";"Right";"SUB";29;59;53;38;39;53;39;26;29;55;55;65;52;47;45;47;76;55;57;47;30;20;47;44;52;45;21;18;17;9;7;7;14;15
"17688";"B. Seymour";"Right";"SUB";31;54;49;40;33;53;35;30;29;50;73;72;74;47;77;52;72;66;54;44;35;13;53;38;54;44;16;19;15;12;8;13;11;13
"17689";"D. Zappella";"Right";"RES";42;25;48;32;23;53;29;29;23;42;60;61;58;52;65;28;62;63;56;22;54;51;43;39;37;40;54;59;58;5;13;12;13;14
"17690";"L. Sedlak";"Right";"RES";12;8;8;24;8;20;14;12;20;18;18;30;22;47;17;40;52;25;57;7;25;15;5;28;17;29;7;12;7;52;51;53;49;58
"17691";"J. Dodd";"Right";"RES";42;41;40;55;37;51;43;35;54;54;68;69;71;51;75;46;71;67;46;38;36;40;48;53;49;56;41;45;43;14;14;7;13;12
"17692";"J. Randall";"Right";"SUB";47;53;37;46;43;53;35;39;40;52;76;73;75;43;77;46;65;66;43;31;29;22;44;46;53;48;27;28;23;9;8;8;15;12
"17693";"J. Nelson";"Left";"SUB";51;25;43;47;24;53;50;25;39;45;62;56;55;52;69;24;61;54;55;27;51;52;55;30;37;59;50;52;56;10;8;11;13;10
"17694";"J. Wellers";"Right";"SUB";39;32;51;60;30;49;39;42;50;53;59;55;59;54;62;49;64;49;58;32;53;52;32;44;42;43;46;49;56;5;11;12;9;10
"17695";"A. Linguet";"Right";"RES";35;30;42;32;30;55;32;32;28;31;63;63;60;50;69;25;62;58;49;24;50;53;38;39;42;39;48;65;64;7;9;13;12;7
"17696";"L. Little";"Right";"SUB";45;34;40;44;23;49;38;34;39;47;71;72;70;45;69;32;66;64;58;30;49;50;40;36;36;44;50;52;50;6;8;13;14;15
"17697";"A. Lyska";"Right";"RES";14;6;10;25;5;7;8;12;27;15;34;48;44;39;58;40;70;39;66;5;18;10;7;32;10;34;8;9;12;56;54;53;49;55
"17698";"A. Gigovic";"Right";"SUB";43;43;32;52;40;55;44;40;43;60;59;64;56;50;50;51;47;51;60;42;41;25;42;56;42;55;31;27;25;5;9;7;14;15
"17699";"F. Bloch";"Left";"SUB";13;7;10;21;6;15;13;11;16;18;29;18;39;50;29;41;53;20;60;7;19;13;7;32;10;26;9;14;13;53;59;54;43;53
"17700";"J. Berks";"Right";"SUB";38;47;38;55;39;55;47;42;53;54;74;68;80;49;77;55;63;66;50;54;44;27;46;53;39;53;38;39;33;12;11;5;11;13
"17701";"L. Krakowczyk";"Right";"SUB";33;54;43;47;54;67;47;28;36;52;67;61;70;49;74;55;49;51;45;54;27;11;45;54;67;47;32;17;18;7;14;13;13;13
"17702";"S. Lusiusz";"Right";"SUB";46;31;50;58;43;43;32;45;56;48;63;66;75;53;67;55;67;68;65;39;52;44;49;52;43;45;50;45;42;7;9;9;10;7
"17703";"J. Grodowski";"Right";"SUB";32;59;47;38;55;51;39;27;34;52;57;58;63;48;58;62;67;53;41;50;27;10;47;41;64;46;34;12;18;6;13;12;6;14
"17704";"S. Fielding";"Right";"RES";27;21;52;35;22;30;29;28;23;32;65;68;52;43;59;38;75;55;66;22;50;51;22;27;35;46;52;54;53;13;10;10;5;9
"17705";"N. Gutierrez";"Right";"SUB";27;55;55;56;37;55;35;33;52;57;41;54;56;50;65;44;69;56;56;46;29;18;54;48;52;45;16;17;16;13;13;6;6;11
"17706";"C. Cappis";"Left";"SUB";36;34;46;59;39;52;35;33;51;54;61;66;57;57;61;46;61;59;56;38;61;47;46;45;39;38;49;48;39;5;13;11;12;5
"17707";"S. Thulin";"Right";"RES";13;7;10;20;8;7;10;10;28;14;21;16;31;34;41;37;63;22;44;6;16;6;6;38;13;26;9;14;10;59;58;49;47;54
"17708";"S. Werni";"Right";"RES";30;59;53;39;44;47;36;29;29;53;60;62;70;50;73;55;55;54;28;51;35;11;55;51;45;48;12;13;15;11;6;10;7;12
"17709";"A. Voda";"Right";"RES";50;44;33;47;42;51;45;34;44;53;74;72;63;41;61;51;48;53;42;36;25;21;48;48;49;49;24;21;22;12;8;8;10;11
"17710";"R. Nartey";"Right";"SUB";47;29;51;36;22;46;29;27;34;40;67;59;57;53;57;27;65;53;64;23;54;49;43;33;32;46;50;53;54;14;11;7;12;13
"17711";"A. Kräuchi";"Left";"RES";47;41;44;58;32;56;34;39;51;55;68;66;59;55;71;46;50;52;45;36;42;51;51;47;34;44;48;45;51;5;10;9;12;8
"17712";"C. Măgerușan";"Right";"RES";29;54;56;45;32;56;36;34;32;54;55;55;50;54;49;53;65;36;58;44;32;17;45;45;63;42;24;12;10;7;11;10;7;12
"17713";"L. Finochietto";"Right";"RES";12;9;13;26;9;8;11;13;19;15;29;27;25;33;39;41;52;23;51;7;23;10;8;25;11;33;15;11;13;58;52;55;53;52
"17714";"T. Curran";"Left";"RES";20;20;47;35;20;25;26;23;28;30;52;55;44;41;62;30;68;62;68;18;55;51;22;33;38;38;53;55;53;14;14;11;13;8
"17715";"Tian Xin";"Right";"SUB";51;41;38;51;27;53;48;37;39;47;65;67;65;55;53;35;60;60;54;45;45;47;52;50;40;49;41;41;40;13;11;11;11;7
"17716";"Dong Min Goh";"Right";"RES";13;9;13;18;6;14;10;11;21;12;34;37;38;55;34;38;56;17;57;5;22;10;8;26;13;28;8;11;10;55;51;50;43;59
"17717";"M. Dilmurat";"Right";"SUB";51;51;38;53;47;47;48;34;44;54;73;73;58;36;83;55;45;51;43;39;38;23;51;48;53;46;23;27;26;6;9;13;9;14
"17718";"F. Sjöberg";"Right";"SUB";39;29;43;56;31;53;38;31;49;56;68;66;61;48;57;41;58;56;59;36;53;43;50;48;32;51;46;50;46;7;6;15;8;14
"17719";"H. Ekdal";"Right";"RES";27;25;54;44;27;25;22;26;40;30;55;57;49;50;56;39;67;60;58;20;46;48;28;30;28;41;49;58;56;5;12;12;6;12
"17720";"K. Al Ghuwainim";"Right";"RES";38;35;43;57;32;48;40;33;53;49;58;62;60;51;68;49;58;68;59;38;61;45;35;48;41;44;46;48;49;9;5;8;10;12
"17721";"J. Gertsen";"Right";"RES";24;28;53;46;26;26;27;22;30;36;52;55;51;45;63;40;70;50;62;25;44;50;30;26;36;40;52;52;52;12;10;14;10;8
"17722";"W. Duffy";"Right";"SUB";45;28;46;58;32;55;37;41;54;53;64;58;55;53;59;52;59;34;49;31;45;46;34;49;45;38;55;55;60;14;8;11;10;9
"17723";"L. Johansson";"Right";"RES";28;25;56;44;15;22;17;14;36;42;66;64;61;41;50;24;64;49;63;19;42;48;25;26;33;33;46;56;55;12;6;11;5;9
"17724";"A. Kaltner";"Right";"RES";47;55;37;51;48;57;45;38;35;58;64;66;67;48;74;44;81;34;60;39;29;25;49;41;49;39;28;15;22;15;5;14;12;8
"17725";"Feng Boxuan";"Right";"RES";49;51;38;40;46;63;40;34;30;48;72;82;65;41;76;64;44;47;38;40;34;20;46;46;47;46;31;29;28;8;6;9;6;6
"17726";"M. Al Baqawi";"Right";"SUB";12;6;14;28;8;9;12;13;24;20;31;26;37;45;42;37;64;23;53;6;27;9;5;34;11;35;15;14;12;55;51;49;48;58
"17727";"Shi Xiaodong";"Right";"SUB";11;9;14;18;7;7;14;14;25;19;25;36;36;58;46;43;64;24;54;8;22;12;4;26;11;57;21;14;12;51;55;57;47;49
"17728";"Yu Hao";"Right";"LCB";23;23;48;42;22;23;27;24;23;32;57;78;67;47;66;30;70;54;68;16;43;46;21;33;32;43;55;52;53;10;10;14;6;12
"17729";"Lei Wenjie";"Right";"SUB";52;53;49;49;38;56;30;32;30;49;65;75;78;45;54;52;67;53;64;47;27;19;45;53;57;45;23;13;15;14;12;14;9;13
"17730";"J. McClelland";"Left";"LM";54;47;36;53;42;55;58;35;43;53;69;60;65;36;72;45;32;49;51;37;28;21;52;51;46;49;24;38;33;6;7;11;7;5
"17731";"S. Jarovic";"Right";"RES";29;51;63;42;44;50;31;23;25;52;50;42;53;48;38;51;62;54;81;41;49;17;50;44;53;48;20;15;21;12;9;5;5;12
"17732";"G. Sarria";"Left";"SUB";33;39;43;60;30;54;36;48;56;56;59;64;66;54;56;57;65;33;56;49;49;52;31;49;41;40;44;53;51;7;7;14;7;10
"17733";"N. Gourmat";"Right";"RES";45;34;40;62;41;48;52;42;69;51;56;69;57;43;61;50;57;79;57;32;38;25;38;62;48;54;34;39;45;10;10;13;12;9
"17734";"J. Mellish";"Left";"LB";28;16;43;44;27;39;25;21;28;34;56;58;44;47;55;37;73;63;65;23;58;49;21;32;30;38;50;56;54;9;8;15;13;12
"17735";"L. Zamudio";"Right";"SUB";14;6;13;16;5;6;12;10;29;12;31;20;30;30;26;42;31;27;72;9;28;9;4;37;19;31;5;10;12;55;59;56;52;52
"17736";"Liu Jing";"Right";"RES";44;24;39;44;20;48;30;26;47;30;62;62;59;48;75;28;59;58;57;28;60;53;40;30;32;48;48;62;58;13;8;10;9;9
"17737";"S. Abdullah";"Left";"RES";41;25;56;40;27;45;36;33;36;41;67;68;58;48;56;34;61;65;62;28;50;52;37;36;31;40;47;57;53;8;13;10;9;10
"17738";"B. Manosalva";"Right";"RES";11;9;16;21;8;4;15;13;26;11;23;21;26;45;48;39;49;26;45;6;26;12;9;28;11;38;10;11;11;53;48;52;51;58
"17739";"W. Henry";"Right";"SUB";13;5;13;27;9;14;10;12;21;15;16;27;31;43;34;38;47;16;44;8;25;12;6;16;17;35;11;13;14;58;53;50;46;55
"17740";"Y. Suzuki";"Left";"RES";51;30;53;63;42;53;38;31;61;56;66;62;55;37;63;50;47;45;72;38;41;40;38;51;46;41;46;56;52;6;11;6;12;9
"17741";"Chen Weiming";"Right";"SUB";53;22;47;46;23;59;21;23;44;51;70;71;74;46;74;33;71;64;56;24;46;45;21;26;33;36;55;46;44;5;11;9;14;14
"17742";"M. Al Nakhli";"Left";"RES";54;41;37;51;38;53;51;43;45;57;67;74;83;37;83;42;43;45;32;33;26;16;42;45;43;47;19;26;27;13;5;15;11;14
"17743";"A. Al Meqran";"Right";"SUB";36;57;57;51;35;53;39;30;39;56;52;53;58;49;79;46;61;59;57;53;30;15;50;49;63;44;17;19;14;13;6;9;7;6
"17744";"M. Al Muwallad";"Right";"SUB";28;56;57;41;41;49;30;33;26;46;50;48;60;49;62;47;60;58;76;53;62;10;53;42;57;44;16;12;13;7;15;15;14;14
"17745";"N. Al Ghamdi";"Right";"RES";14;9;14;29;9;12;13;11;20;18;18;23;23;42;44;38;61;23;46;5;28;12;8;23;12;36;6;11;10;52;58;51;51;53
"17746";"A. Gudiño";"Right";"RES";12;9;11;27;8;9;11;11;17;12;25;21;37;46;48;39;62;18;61;5;27;13;4;38;19;36;5;10;13;57;54;52;44;58
"17747";"B. Babic";"Right";"SUB";30;59;55;38;41;48;39;32;30;53;42;48;59;51;69;49;76;53;57;50;34;13;54;48;64;48;35;15;20;9;14;11;8;16
"17748";"P. Mucha";"Right";"SUB";41;48;49;60;46;54;50;45;60;56;66;66;75;55;72;58;52;47;58;33;39;31;42;48;50;52;37;46;44;14;8;10;15;7
"17749";"Wen Jiabao";"Left";"SUB";50;47;31;49;38;48;35;32;44;54;77;79;71;35;68;51;34;52;77;32;34;23;46;49;48;40;62;22;24;12;8;9;8;6
"17750";"T. Widdrington";"Right";"RES";45;40;42;61;36;48;46;40;59;52;60;69;61;46;67;53;53;54;51;35;35;30;49;54;40;59;37;54;50;11;13;10;9;11
"17751";"J. Widell Zetterström";"Right";"SUB";13;17;13;21;8;12;14;14;20;13;16;27;20;46;26;44;33;17;60;9;18;13;6;25;12;36;6;13;11;56;50;58;49;55
"17752";"J. González";"Right";"RES";54;46;30;56;40;52;38;39;44;54;64;66;57;48;87;49;44;51;32;34;29;17;42;41;53;40;22;25;24;15;12;8;10;5
"17753";"Chen Fujun";"Left";"RES";41;42;45;58;44;51;36;33;55;60;66;62;53;46;68;49;56;63;48;41;38;37;47;51;39;52;38;40;38;11;5;14;12;14
"17754";"L. Jiménez Jaimes";"Right";"RES";38;28;48;59;36;53;32;31;58;54;65;59;57;50;87;51;69;63;40;31;51;45;52;44;36;36;40;44;49;8;8;13;10;10
"17755";"Alexandre Pimenta";"Left";"RES";55;55;37;48;45;60;42;36;45;55;65;60;56;37;61;70;47;39;38;42;40;23;43;51;53;50;22;25;28;10;10;12;15;14
"17756";"O. Novelo";"Right";"RES";48;34;43;53;43;50;42;41;52;51;64;64;59;59;75;50;55;55;43;44;55;47;52;53;52;41;40;54;55;12;9;12;6;12
"17757";"Y. Samuel";"Right";"SUB";43;46;54;57;40;53;40;26;45;54;68;69;62;56;66;56;64;70;69;48;58;34;50;49;50;50;34;43;34;12;13;10;10;7
"17758";"Gan Chao";"Left";"SUB";43;44;40;52;46;55;37;34;36;56;82;84;76;53;74;58;47;50;45;38;34;46;47;45;54;42;50;46;45;13;11;13;16;8
"17759";"Wang Min";"Right";"SUB";12;10;13;24;9;13;12;13;23;11;26;30;35;52;24;38;39;28;63;8;29;7;8;28;11;52;15;14;12;55;49;50;48;56
"17760";"G. Vannucchi";"Right";"SUB";12;6;11;23;6;8;12;10;25;16;32;15;38;43;44;41;60;25;53;9;20;6;6;29;17;30;8;14;14;53;54;55;54;51
"17761";"D. Vega";"Right";"SUB";30;60;56;36;44;45;31;32;28;41;57;55;50;47;75;46;68;58;60;55;41;19;55;41;55;49;18;14;15;11;14;12;8;10
"17762";"M. Bloomfield";"Right";"SUB";34;55;44;41;39;52;39;26;33;51;63;74;56;49;65;45;61;46;61;43;35;16;52;45;62;49;14;13;13;12;13;16;9;14
"17763";"Yan Zihao";"Left";"RES";42;24;39;26;24;52;31;27;21;39;61;64;72;54;70;25;67;82;57;28;51;50;46;31;33;39;53;55;56;11;11;5;12;6
"17764";"Zhu Chenjie";"Right";"LCB";29;17;57;36;27;30;21;28;32;38;55;60;53;51;54;36;73;71;70;20;53;45;26;28;34;54;42;55;49;8;10;5;14;8
"17765";"Lee Dong Hee";"Right";"SUB";43;30;48;57;27;55;37;35;55;60;63;62;65;53;65;43;58;57;55;29;57;40;41;56;42;55;46;42;45;9;12;7;5;12
"17766";"J. Cowley";"Right";"SUB";25;61;60;41;37;50;37;32;29;41;50;57;56;49;64;52;68;59;42;55;30;13;51;41;58;49;16;11;12;11;10;8;11;8
"17767";"Feng Boyuan";"Right";"SUB";27;53;64;40;51;50;32;21;28;48;52;54;46;49;53;54;63;58;59;45;50;15;47;43;54;41;17;22;20;8;6;11;9;10
"17768";"S. D'Angelo";"Right";"SUB";54;48;48;63;40;51;53;43;64;51;60;60;64;53;64;54;55;36;46;36;45;21;42;55;44;58;36;48;49;13;10;10;9;10
"17769";"J. Linnet";"Right";"SUB";45;38;55;60;38;47;36;35;57;52;62;67;60;53;67;54;60;65;54;40;65;49;46;44;40;40;48;54;49;11;11;11;7;9
"17770";"M. Kelly";"Right";"SUB";13;11;14;15;19;15;19;13;19;14;35;37;34;46;40;38;52;37;54;11;18;16;19;15;22;32;14;17;16;54;53;50;53;53
"17771";"Sun Weizhe";"Right";"RES";36;39;54;52;37;52;37;39;52;55;62;66;59;43;61;43;69;64;59;35;50;47;49;47;32;41;53;53;57;16;14;15;10;13
"17772";"Lee Hyun Woo";"Right";"SUB";11;9;11;18;7;9;13;12;18;16;30;26;25;53;45;41;57;21;52;9;27;10;5;34;15;53;14;12;14;53;51;54;50;54
"17773";"Wen Zhixiang";"Right";"RES";16;17;14;28;12;11;18;20;21;22;46;44;36;52;46;33;58;41;70;11;25;20;19;13;21;29;11;13;19;52;45;44;53;60
"17774";"R. Miura";"Right";"SUB";12;5;13;25;7;12;13;12;17;13;25;23;24;49;44;39;61;22;44;5;15;12;5;31;14;22;23;16;12;58;54;52;49;48
"17775";"Li Fang";"Right";"SUB";45;28;42;30;26;54;33;27;25;32;70;55;85;50;77;27;72;63;49;29;50;52;47;31;37;36;64;61;55;14;6;11;6;5
"17776";"Wei Jian";"Right";"SUB";10;8;11;24;9;14;13;12;26;17;31;29;34;41;38;38;42;18;56;7;26;10;6;22;18;23;6;13;10;53;58;51;50;55
"17777";"Chen Junlin";"Right";"RES";17;12;18;28;16;18;13;15;20;20;41;41;33;48;60;35;59;36;55;14;25;24;19;19;30;21;14;12;15;52;45;47;47;65
"17778";"Sun Kai";"Left";"SUB";46;18;41;45;29;23;42;29;43;33;56;58;41;44;66;39;71;70;58;20;52;50;22;34;35;42;53;59;58;7;13;9;9;14
"17779";"Ge Zhen";"Right";"LB";47;29;44;28;27;54;31;25;21;44;68;63;52;46;66;25;54;54;51;24;47;46;41;30;34;40;59;56;59;14;11;8;15;7
"17780";"G. Poncet";"Left";"SUB";24;59;71;35;44;45;34;20;20;41;46;53;54;44;47;48;65;55;80;45;46;19;45;48;54;48;31;19;20;10;12;12;12;10
"17781";"Fabio Lopes";"Right";"SUB";32;50;43;48;49;56;43;34;31;50;76;78;70;50;75;47;51;55;33;47;29;14;48;49;59;45;11;17;15;8;5;6;6;8
"17782";"J. Hill";"Right";"RES";27;16;52;33;29;20;21;26;24;32;55;53;44;46;63;34;66;61;61;20;48;45;21;26;30;36;53;55;53;7;15;5;8;12
"17783";"S. Anderson";"Right";"SUB";43;32;42;48;26;55;42;32;43;44;62;60;65;56;66;31;60;60;43;30;55;50;50;35;34;40;41;55;49;7;6;12;7;11
"17784";"N. Jenssen";"Right";"RES";30;19;47;35;26;28;27;27;33;35;63;55;55;45;61;35;65;40;64;23;48;56;28;30;35;40;48;51;52;14;8;6;9;7
